t,x=0.001,x=0.5,x=1
36.4,-50.13232440192947,-62.87448009187941,-65.77045389119922
36.5,-49.809220690524945,-62.63814768226155,-65.5652959061668
36.6,-49.472776037992894,-62.39692699712397,-65.3582818623783
36.7,-49.12071457256381,-62.149863365115216,-65.14898337464071
36.800000000000004,-48.75033573844328,-61.89581391899052,-64.9368701804085
36.9,-48.35827441654738,-61.63339828029363,-64.72123617244499
37.0,-47.94044244201404,-61.36093344862912,-64.50126263431201
37.1,-47.491774182466365,-61.076355627440435,-64.27602729836528
37.2,-47.00587406920684,-60.77710826420102,-64.04440903866998
37.300000000000004,-46.47467873257456,-60.45998317050801,-63.80496683520018
37.4,-45.88776280716975,-60.12090548814241,-63.555841681792614
37.5,-45.23159894563829,-59.75462221074745,-63.2948224259832
37.6,-44.48829110451747,-59.35426515205754,-63.019134570149724
37.7,-43.63381949366797,-58.9107073433254,-62.72509649455387
37.800000000000004,-42.635442787832105,-58.41156531634353,-62.40780660210858
37.9,-41.44777157154974,-57.839692277488666,-62.06091998712594
38.0,-40.00689994150451,-57.17079084449719,-61.675726206678576
38.1,-38.221629920071855,-56.36951502399185,-61.23991712948761
38.2,-35.96082563207347,-55.38296845552892,-60.736159031201936
38.300000000000004,-33.03706044676532,-54.12956009956575,-60.138639244781295
38.400000000000006,-29.191641935696143,-52.47954528724644,-59.40827372159337
38.5,-24.102348170670062,-50.22097041750917,-58.483198762544376
38.6,-17.47331764005807,-47.00203621956205,-57.262020592885555
38.7,-9.313492209324108,-42.24476109414925,-55.57202852038454
38.800000000000004,-0.4144737780704606,-35.06267145566343,-53.10863576270392
38.900000000000006,7.468189282899071,-24.362649917332984,-49.319205512157616
39.0,12.488909648519428,-9.63935972448018,-43.176586176576315
39.1,13.966752075697833,7.159148868344854,-32.746091832846666
39.2,12.485671384772154,21.11330933795057,-14.785172838714132
39.300000000000004,9.092756076978455,28.506949053421646,11.342227326991694
39.400000000000006,4.688962432184261,29.802166017063776,31.454168130735074
39.5,-0.12926917578699193,27.45500103071666,36.90191303787263
39.6,-5.0137112972685,23.426407213029037,35.84651791797055
39.7,-9.778870762276796,18.65096245271691,32.705521590674174
39.800000000000004,-14.337398764304206,13.533311022884748,28.57593418276953
39.900000000000006,-18.656828965668815,8.287160133542145,23.859482934155704
40.0,-22.73514572275351,3.042471306855429,18.804423968896575
40.1,-26.58903969284163,-2.121728511628021,13.588446816242438
40.2,-30.24916870075384,-7.162044505151652,8.336906262419202
40.300000000000004,-33.75815550442244,-12.061111102782585,3.133009409888727
40.400000000000006,-37.16824896852118,-16.821812420710277,-1.9731455212923512
40.5,-40.53666728004525,-21.465201686868504,-6.95663674131837
40.6,-43.91726288667386,-26.031869158295773,-11.811646588881109
40.7,-47.34558871889471,-30.58560701849503,-16.548089823190733
40.800000000000004,-50.815970710808,-35.2158946732924,-21.192231842365256
40.900000000000006,-54.255705441139085,-40.03162990202409,-25.79263330826489
41.0,-57.513648433372225,-45.13268432217233,-30.43187025160895
41.1,-60.39254535763588,-50.54404476832321,-35.24520057576971
41.2,-62.73026545245724,-56.11948141529455,-40.437098485462045
41.300000000000004,-64.47327921393206,-61.48772160156052,-46.273286059117396
41.400000000000006,-65.68007416905732,-66.16079326439592,-52.96797501736932
41.5,-66.46520963267086,-69.78725170956264,-60.31656001050656
41.6,-66.94340638607527,-72.30543852951891,-67.18471045288119
